"Mountain","Metres","Feet","Location and Notes"
"Kongde Ri","6,187","20,299","Himalayas, Nepal (Khumbu)"
"Aucanquilcha","6,176","20,262","Andes, Chile"
"Imja Tse","6,189","20,305","Himalayas, Nepal (Khumbu)"
"Denali (Mt. McKinley)","6,168","20,236","Alaska Range, United States (Alaska) – Highest in North America"
"Stok Kangri","6,137","20,135","Stok Range, Himalayas, India (Jammu and Kashmir)"
"Marmolejo","6,108","20,039","Andes, Argentina/Chile"
"Laila Peak (Hushe Valley)","6,096","20,000","Karakoram, Pakistan"
"Pisang Peak","6,091","19,984","Annapurna Himalaya, Nepal"
"Huayna Potosí","6,088","19,974","Andes, Bolivia"
"Aracar","6,082","19,954","Andes, Argentina"
"Chachakumani","6,074","19,928","Andes, Bolivia"
"Chachani","6,057","19,872","Andes, Peru"
"Mianzimu","6,054","19,862","Yunnan, China"
"Acotango","6,052","19,856","Andes, Bolivia/Chile"
"Socompa","6,051","19,852","Andes, Argentina/Chile"
"Acamarachi","6,046","19,836","Andes, Chile"
"Shayaz","6,026","19,770","Hindu Kush, Pakistan"
"Hualca Hualca","6,025","19,767","Andes, Peru"
"Uturunku","6,020","19,751","Andes, Bolivia"
"Mitre Peak","6,010","19,718","Karakoram, Pakistan"
