"Mountain","Metres","Feet","Range","Location and Notes"
"Sherpi Kangri","7,380","24,213","Karakoram","Pakistan"
"Labuche Kang","7,367","24,170","Himalayas","near Cho Oyu, Nepal/China"
"Kirat Chuli","7,365","24,163","Himalayas","Nepal/India (Sikkim) border"
"Skil Brum","7,360","24,147","Karakoram","Pakistan – May also be given as 7,410 m"
"Gimmigela Chuli","7,350","24,114","Himalayas","Nepal/India (Sikkim) border"
"Bojohagur Duanasir","7,329","24,045","Karakoram","Pakistan"
"Chamlang","7,319","24,012","Himalayas","Khumbu, Nepal"
"Jomolhari / Chomolhari","7,314","23,996","Himalayas","Bhutan/China"
"Baltoro Kangri","7,312","23,990","Karakoram","Pakistan"
"Siguang Ri","7,308","23,976","Himalayas","China"
"The Crown","7,295","23,934","Karakoram","China (Xinjiang)"
"Gyala Peri","7,294","23,930","Himalayas","China"
"Porong Ri","7,292","23,924","Himalayas","China"
"Baintha Brakk","7,285","23,901","Karakoram","Pakistan"
"Yutmaru Sar","7,283","23,894","Karakoram","Pakistan"
"K6","7,282","23,891","Karakoram","Pakistan – Also known as Baltistan Peak"
"Kangpenqing","7,281","23,888","Himalayas","China"
"Mana Peak","7,272","23,858","Himalayas","India (Uttarakhand) – SSE of Kamet"
"Muztagh Tower","7,273","23,862","Karakoram","Pakistan"
"Diran","7,257","23,809","Karakoram","Pakistan"
"Apsarasas Kangri","7,245","23,770","Karakoram","China/India"
"Langtang Lirung","7,227","23,711","Himalayas","Nepal"
"Annapurna South","7,219","23,684","Himalayas","Nepal"
"Khartaphu","7,213","23,665","Himalayas","China"
"Tongshanjiabu","7,207","23,645","Himalayas","Bhutan/China"
"Langtang Ri","7,205","23,638","Himalayas","Nepal/China"
"Kangphu Kang","7,204","23,635","Himalayas","Bhutan/China"
"Lupghar Sar","7,200","23,622","Karakoram","Pakistan"
"Melungtse","7,181","23,560","Rolwaling Himalayas","China"
"Liushi Shan","7,167","23,514","Kunlun","China – #1 in Kunlun"
"Baruntse","7,162","23,497","Himalayas","Khumbu, Nepal"
"Pumori","7,161","23,494","Himalayas","Khumbu, Nepal"
"Hardeol","7,151","23,461","Himalayas","India (Uttarakhand)"
"Gasherbrum V","7,147","23,448","Karakoram","Pakistan"
"Latok I","7,145","23,442","Karakoram","Pakistan"
"Nemjung","7,140","23,425","Himalayas","Nepal"
"Udren Zom","7,140","23,425","Hindu Kush","Pakistan"
"Chaukhamba","7,138","23,419","Himalayas","India (Uttarakhand)"
"Nun Kun","7,135","23,409","Karakoram","India (Jammu and Kashmir)"
"Tilicho Peak","7,134","23,406","Himalayas","Annapurna Himal, Nepal"
"Gauri Sankar","7,134","23,406","Rolwaling Himalayas","Nepal/China"
"Lenin Peak","7,134","23,406","Pamir Mountains","Tajikistan-Kyrgyzstan – #2 in Pamirs"
"Api","7,132","23,399","Himalayas","Nepal"
"Pauhunri","7,128","23,386","Himalayas","India (Sikkim)/China"
"Trisul","7,120","23,360","Himalayas","India (Uttarakhand)"
"Korzhenevskaya","7,105","23,310","Pamir Mountains","Tajikistan – #3 in Pamirs"
"Lunpo Gangri","7,095","23,278","Himalayas (Gangdise)","China"
"Satopanth","7,075","23,212","Himalayas","India (Uttarakhand)"
"Tirsuli","7,074","23,209","Himalayas","India (Uttarakhand)"
"Dunagiri","7,066","23,182","Himalayas","India (Uttarakhand)"
"Kangto","7,060","23,163","Himalayas","India (Arunachal Pradesh)/China"
"Nyegyi Kansang","7,047","23,120","Himalayas","India (Arunachal Pradesh)/China"
"Link Sar","7,041","23,100","Karakoram","Pakistan"
"Kezhen Peak","7,038","23,091","Karakoram","China (Xinjiang)"
"Shah Dhar","7,038","23,091","Hindu Kush","Afghanistan/Pakistan"
"Spantik","7,027","23,054","Karakoram","Pakistan"
"Khan Tengri","7,010","22,999","Tian Shan","Kyrgyzstan-Kazakhstan-China – #2 in Tian Shan"
