"Mountain","Metres","Feet","Location and Notes"
"Glacier Peak","3,213","10,541","Washington, USA"
"Pointe du Dard","3,212","10,538","Vanoise massif, France"
"Mount Binalud","3,211","10,535","Alborz, Iran"
"Pointe de la Réchasse","3,206","10,518","Vanoise massif, France"
"Mount Jefferson","3,204","10,512","Montana, USA"
"Mount Jefferson","3,199","10,495","Cascade Range, Oregon, USA"
"Dreiländerspitze","3,197","10,489","Silvretta, Austria-Switzerland"
"Mount Kita","3,193","10,476","Akaishi Mountains, Japan"
"Mount Hotaka","3,190","10,466","Hida Mountains, Japan"
"Mount Cleveland","3,190","10,466","Montana, USA"
"Ainodake","3,189","10,463","Akaishi Mountains, Japan"
"Lassen Peak","3,189","10,463","California, USA"
"Mount Galatea","3,185","10,449","Kananaskis Range, Alberta, Canada"
"Rendezvous Mountain","3,185","10,449","Teton Range, Wyoming, USA"
"Saviers Peak","3,182","10,440","Idaho, USA"
"Mount Yari","3,180","10,433","Hida Mountains, Japan"
"Parícutin","3,170","10,400","Mexico"
"Mount Aylmer","3,162","10,374","Canadian Rockies"
"South Sister","3,157","10,358","Cascade Range, Oregon, USA"
"Stanley Peak","3,155","10,351","Ball Range, Canadian Rockies"
"Jøkulkyrkja","3,148","10,328","Antarctica"
"Pica d'Estats","3,143","10,312","Spanish–French border, Pyrenees"
"Phan Xi Păng","3,143","10,312","Sa pa, Vietnam"
"Mount Arakawa","3,141","10,305","Akaishi Mountains, Japan"
"Gray Peak","3,140","10,302","Yellowstone National Park, Wyoming, USA"
"Mount Heyburn","3,139","10,299","Idaho, USA"
"Mount Washburn","3,122","10,243","Yellowstone National Park, Wyoming, USA"
"Mount Collie","3,116","10,223","Canadian Rockies"
"Mount Siple","3,110","10,203","Antarctica"
"Pirchinassi","3,110","10,203","Muzaffarabad Azad Kashmir"
"Mount Redoubt","3,108","10,197","Alaska, USA"
"Mount Babel","3,101","10,174","Bow Range, Alberta, Canada"
"Mount Emei","3,099","10,167","China"
"Pico Duarte","3,098","10,164","Dominican Republic"
"Trapper Peak","3,096","10,157","Montana, USA"
"Storm Mountain","3,095","10,154","Canadian Rockies"
"Mount Blackmore","3,094","10,151","Montana, USA"
"Mount Stimson","3,091","10,141","Montana, USA"
"Mol Len","3,088","10,131","Patkai Range, Nagaland-India/Burma<http://www.peaklist.org/WWlists/ultras/burma.html>"
"Qurnat as Sawdā’","3,088","10,131","Lebanon"
"Mount Richardson","3,086","10,125","Canadian Rockies"
"Kintla Peak","3,079","10,102","Livingston Range, Montana, USA"
"Mount Moulton","3,078","10,098","Antarctica"
"Smoky Dome","3,077","10,095","Idaho, USA"
"North Sister","3,074","10,085","Cascade Range, Oregon, USA"
"Piton des Neiges","3,069","10,069","Réunion, France"
"Mount San Antonio","3,068","10,066","San Gabriel Mountains, California, USA"
"Mount Ontake","3,067","10,062","Japan"
"Mount Jackson","3,064","10,052","Lewis Range, Montana, USA"
"Middle Sister","3,062","10,046","Cascade Range, Oregon, USA"
"Mount Wutai","3,061","10,043","Shanxi, China"
"Mount Nyamuragira","3,058","10,033","Democratic Republic of the Congo"
"Haleakala","3,057","10,030","Hawaii, USA"
"Crowfoot Mountain","3,055","10,023","Canadian Rockies"
"Mount Chester","3,054","10,020","Canadian Rockies"
"Mount Siyeh","3,052","10,013","Montana, USA"
"Mount Merritt","3,049","10,003","Montana, USA"
"Cerro de Coxóm","3,045","9,990","Guatemala"
"Parseierspitze","3,036","9,961","Austria"
"Mount Senjō","3,033","9,951","Akaishi Mountains, Japan"
"Mount Aspiring/Tititea","3,033","9,951","New Zealand"
"Kinnerly Peak","3,031","9,944","Montana, USA"
"Mount Agung","3,031","9,944","Bali, Indonesia"
"Mount McArthur","3,021","9,911","Canadian Rockies"
"Mount Norikura","3,026","9,928","Hida Mountains, Japan"
"Tsiteli Khati","3,026","9,928","Kharuli Range, Georgia"
"Mount Tate","3,015","9,892","Hida Mountains, Japan"
"Mount Japvo","3,014","9,888","Barail Range, Nagaland, India<http://www.peaklist.org/WWlists/ultras/burma.html>"
"Mount Tahat","3,003","9,852","Algeria – Highest"
"Sapitwa","3,002","9,849","Mulanje Massif, Malawi"
"The Fortress","3,000","9,843","Canadian Rockies"
