"Mountain","Metres","Feet","Location and Notes"
"Sinabung","2,460","8,071","Sumatra, Indonesia"
"Mount Yake","2,455","8,054","Chūbu region, Honshū, Japan"
"Mount Tandikat","2,438","7,999","West Sumatra, Indonesia"
"Mount Patuha","2,434","7,986","Java, Indonesia"
"Spectrum Range","2,430","7,972","British Columbia, Canada"
"Mocho-Choshuenco","2,415","7,923","Los Ríos Region, Chile"
"Ilgachuz Range","2,410","7,907","British Columbia, Canada"
"Michinmahuida","2,404","7,887","Chile"
"Melimoyu","2,400","7,874","Chile"
"Mount Cayley","2,394","7,854","British Columbia, Canada"
"Santa Ana Volcano","2,381","7,812","El Salvador"
"Kizimen","2,376","7,795","Kamchatka Peninsula, Russia"
"Itcha Range","2,368","7,769","British Columbia, Canada"
"Mount Karthala","2,361","7,746","Comoros, Indian Ocean"
"Suswa","2,356","7,730","Kenya"
"Taunshits","2,353","7,720","Kamchatka Peninsula, Russia"
"Pico","2,351","7,713","Azores, Portugal"
"Quetrupillán","2,350","7,710","Chile"
"Mount Malabar","2,343","7,687","Java, Indonesia"
"Ulawun","2,334","7,657","West New Britain, Papua New Guinea"
"Mount Bromo","2,329","7,641","Java, Indonesia"
"Mutnovsky","2,322","7,618","Kamchatka Peninsula, Russia"
"The Black Tusk","2,319","7,608","British Columbia, Canada"
"Corcovado","2,300","7,546","Chile"
"Ngauruhoe","2,291","7,516","New Zealand"
"Dzenzursky","2,285","7,497","Kamchatka Peninsula, Russia"
"Sollipulli","2,282","7,487","Chile"
"Menengai","2,278","7,474","Kenya"
"Bakening","2,278","7,474","Kamchatka Peninsula, Russia"
"Beerenberg","2,277","7,470","Jan Mayen, Norway"
"Black Dome Mountain","2,252","7,388","British Columbia, Canada"
"Mount Guntur","2,249","7,379","West Java, Indonesia"
"Mount Kembar","2,245","7,365","Sumatra, Indonesia"
"Inierie","2,245","7,365","Flores Island, Indonesia"
"Puyehue","2,236","7,336","Chile"
"Nabro","2,218","7,277","Northern Red Sea, Eritrea"
"Sibayak","2,212","7,257","Sumatra, Indonesia"
"Mount Salak","2,211","7,254","Java, Indonesia"
"Talagabodas","2,201","7,221","Java, Indonesia"
"Level Mountain","2,190","7,185","British Columbia, Canada"
"Yate","2,187","7,175","Chile"
"San Vicente","2,182","7,159","El Salvador"
"Wayang-Windu","2,182","7,159","Java, Indonesia"
"Vilyuchik","2,173","7,129","Kamchatka Peninsula, Russia"
"Mount Kusatsu-Shirane","2,171","7,123","Honshū, Japan"
"Snegovoy","2,169","7,116","Kamchatka Peninsula, Russia."
"Galunggung","2,168","7,113","Java, Indonesia"
"Vysoky","2,161","7,090","Kamchatka Peninsuala, Russia"
"Mount Banahaw","2,158","7,080","Philippines"
"Kambalny","2,156","7,073","Kamchatka Peninsula, Russia"
"Mount Kunyit","2,151","7,057","Sumatra, Indonesia"
"Sorikmarapi","2,145","7,037","Sumatra, Indonesia"
"Mount Fee","2,134","7,001","British Columbia, Canada"
"San Miguel","2,130","6,988","San Miguel Department, El Salvador"
"Ash Mountain","2,125","6,972","British Columbia, Canada"
"Ebulobo","2,124","6,969","Flores Island, Indonesia"
"Öræfajökull","2,110","6,923","Iceland"
"Mount Minto","2,107","6,913","British Columbia, Canada"
"Ranakah","2,100","6,890","Flores Island, Indonesia"
"Khodutka","2,090","6,857","Kamchatka Peninsula, Russia"
"Tangkuban Perahu","2,084","6,837","West Java, Indonesia"
"Bukit Lumut Balai","2,055","6,742","Sumatra, Indonesia"
"Mount Price","2,052","6,732","British Columbia, Canada"
"Mount Ungaran","2,050","6,726","Java, Indonesia"
"Yanteles","2,042","6,699","Chile"
"Mount Nipesotsu","2,013","6,604","Hokkaidō, Japan"
"Heart Peaks","2,012","6,601","British Columbia, Canada"
"Mount Fentale","2,007","6,585","Oromia Region, Ethiopia"
"Bárðarbunga","2,005","6,578","Iceland"
"Tarso Toh","2,000","6,562","Chad"
"Khangar","2,000","6,562","Kamchatka Peninsula, Russia"
